TTP
60
67
67
68
75
78
81
84
91
92
185
99
101
106
114
117
124
129
133
137
249
469
96
62
66
109
74
127
129
140
144
151
158
167
186
150
408
525
917
501
477
509
482
525
546
578
580
615
586
593
592
597
601
782
859
870
1424
994
31
38
45
51
54
98
60
63
67
70
118
75
274
209
265
378
268
385
386
274
393
394
292
295
305
309
315
318
318
322
405
403
407
440
448
453
462
467
524
30
35
43
55
69
71
74
79
84
100
1877
1806
1733
1759
1846
421
53
56
57
61
64
34
42
43
46
48
49
62
98
104
117
118
295
145
221
223
223
223
223
221
221
222
244
254
316
386
319
395
334
406
339
342
351
351
364
371
541
39
39
51
52
53
54
55
57
57
446
35
37
38
40
40
46
47
50
52
310
310
244
955
955
955
32
35
39
40
42
43
47
48
54
137
70
101
51
52
62
73
154
158
117
170
127
131
200
207
157
211
165
218
168
526
29
33
34
34
41
43
47
49
50
407
30
31
41
41
45
49
70
43
44
42
45
47
47
49
59
106
67
68
113
251
89
108
163
178
137
138
210
211
217
178
232
181
183
236
240
242
190
192
252
464
23
29
29
30
38
43
49
50
50
408
36
39
43
47
49
53
61
68
36
75
37
39
78
40
40
41
42
47
47
175
53
56
56
57
84
92
99
104
124
127
189
